Phase,Step,Feature (plain name),What it means and why it matters,What you will be able to see or do,How you check it works,Done
001 Tidy the project (Monorepo Reorg),Goal,The whole house gets organised,Right now the code lives in one big pile - like a junk drawer where everything is thrown together. This phase is pure spring-cleaning: we move every file into a clearly labelled room. Nothing your users see changes at all - it just becomes a place a team can actually work in without tripping over each other.,A project split into named rooms instead of one messy pile,Walk the steps below - if all their checks pass and the app still works exactly as before this phase is done,
001 Tidy the project (Monorepo Reorg),1,Labelled rooms (folders),We create five clearly named rooms: backend (the brain) admin (your current screens) frontend (the future customer app) content (the words questions and prompts) and docs (the plans). Like moving from a junk drawer to labelled drawers.,Five clearly named top-level folders,The folders exist and the apps automated tests still pass exactly as before,
001 Tidy the project (Monorepo Reorg),2,One address book for data,Instead of the location of files being scribbled in dozens of places we write every location once in a single file. Change an address in one place and everything follows - no more hunting.,A single file that lists where all the data lives,The app and the command-line tool both read their locations from that one file,
001 Tidy the project (Monorepo Reorg),3,The brain moves house,The core engine code moves into the backend room and we update every signpost that points to it so nothing gets lost.,The engine living in its proper room,The automated tests are green with no broken links,
001 Tidy the project (Monorepo Reorg),4,The content moves house,All the words the product uses - questions prompts lexicons scenarios settings - move into the content room and the code is pointed at the new spot.,Questions and prompts living in the content room,Run the product once and confirm it still loads its questions and the tests stay green,
001 Tidy the project (Monorepo Reorg),5,Two apps get their own rooms,The customer-facing server and your current internal screens are separated into the backend and admin rooms so the product and the internal tool stop being tangled.,The server and your current screens in separate rooms,The app starts up and one full run works from start to finish,
001 Tidy the project (Monorepo Reorg),6,The paperwork gets filed,All the plans notes and reference documents move into the docs room so the thinking lives in one obvious place.,All plans and notes filed under docs,The documents are all under the docs room and nothing points at the old locations,
001 Tidy the project (Monorepo Reorg),7,Throw out the junk,We delete leftover clutter (two stray images) and update the build settings to match the new layout.,A clean project with no leftover clutter,The tests are green the build commands run and the code checker passes,
001 Tidy the project (Monorepo Reorg),Sign-off,Your approval gate,This is where you personally confirm the spring-clean changed nothing your users feel. Only give the green light when all four checks below are true.,Confidence that the move was purely cosmetic,Tests green (same count as before) - app starts and a full run works - the command-line replay runs clean - the product behaves identically to before,
002 House rules (Conventions and Skills),Goal,We teach the AI our standards once,Instead of you re-explaining how things should be built every time we write the rules down as skills the AI reads automatically. From here on every line of new code is written in a safer language and tested before it is trusted.,A set of written house rules the AI follows every time,Walk the steps - done when the rules load cleanly and a tiny sample change proves they are being followed,
002 House rules (Conventions and Skills),1,Shop around for proven rules,We look at the best existing rulebooks the wider community uses and decide what to borrow versus what to write ourselves - no reinventing the wheel.,A clear decision on what we borrow versus build,The decision is written down in the progress log,
002 House rules (Conventions and Skills),2,Install the quality skills,We install the test-first skill and the security skills so they are ready to use - the safety equipment goes on the shelf.,The quality and security skills installed and ready,All the installed skills load without error,
002 House rules (Conventions and Skills),3,Write our own rulebooks,We write two plain rulebooks - one for the backend one for the frontend - covering naming structure and how the parts connect so everything is built the same way every time.,Two house-rule skills the AI reads automatically,Both rulebooks load and cover naming structure and layout,
002 House rules (Conventions and Skills),4,Set up the safety tooling,We switch on the stricter language tooling and the test runner and lay out where tests live so mistakes get caught before the app even runs.,Tooling that catches mistakes early,The strict settings build the test runner runs and the test folders mirror the code,
002 House rules (Conventions and Skills),5,Point the AI at the rules,We wire the project guide so the AI automatically opens the right rulebook for the right kind of work.,The AI reaching for the right rulebook on its own,Every link in the project guide opens the correct skill,
002 House rules (Conventions and Skills),Sign-off,Your approval gate,Confirm the standards are real - not just written down but actually followed on a tiny test change.,Confidence the rules will hold on every future change,Every skill loads without error - a small test-first change lands in correctly named files - all guide links resolve,
003 Make the code safer (TypeScript Conversion),Goal,We upgrade the code to a safer language,We convert the existing code to a stricter language that flags whole classes of mistakes before the app runs - like spell-check for code. Nothing behaves differently - this is purely about catching errors earlier.,The same product built on safer foundations,Walk the steps - done when the safety checks and tests are green and the product behaves exactly as before,
003 Make the code safer (TypeScript Conversion),1,Turn on strict mode,We switch the backend into strict mode so the safety checks are at their most thorough from the start.,The backend running under strict safety checks,The strict settings build without complaint,
003 Make the code safer (TypeScript Conversion),2,Agree the shapes of our data,We define the exact shape of the core things the system passes around (a session a question a briefing and so on) so every part agrees on what they look like - no surprises.,Clear agreed definitions for the core data,The definitions compile and the rest of the code uses them,
003 Make the code safer (TypeScript Conversion),3,Convert piece by piece safely,We convert the code from the outside in keeping every test green at each step so nothing breaks along the way.,The whole engine converted with tests staying green,Tests are green after each piece is converted,
003 Make the code safer (TypeScript Conversion),4,Tighten the loose ends,Where the conversion reveals vague spots we tighten them up so there are no soft edges left.,Code with no vague or untyped gaps,No loose untyped spots remain in the converted code,
003 Make the code safer (TypeScript Conversion),Sign-off,Your approval gate,Confirm the upgrade was invisible to users - same product safer underneath.,Confidence the upgrade changed nothing visible,The safety build passes with no loose spots - tests green - app and command-line behave identically to before,
004 A proper engine room (Backend API v1),Goal,We reshape the backend into clean layers,We organise the backend behind a proper versioned doorway (an API) with clean layers so it can grow without becoming a tangled mess. The product does what it does today - it is just built to scale.,A backend organised to grow without turning into spaghetti,Walk the steps - done when every route follows the standard each piece is tested and behaviour is unchanged,
004 A proper engine room (Backend API v1),1,Draw the menu of services,We list every service the backend offers and write down the official menu (the contract) - what you can ask for and what you get back.,A written menu of every backend service,A contract document lists every request its type and its response,
004 A proper engine room (Backend API v1),2,Build the shared plumbing,We build the shared plumbing every request flows through - error handling who-you-are context and a slot for the login check coming later.,Consistent handling for every request,Errors come back in one consistent shape and the shared plumbing works,
004 A proper engine room (Backend API v1),3,Build each service in clean layers,Each area is built as three small parts each with one job - a thin front desk the actual logic and the data access - and every piece is written test-first.,Each service split into small single-job parts,Each service has tests written before its code and the routes work,
004 A proper engine room (Backend API v1),4,Lay out the test rooms,We arrange the tests to mirror the code so anyone can find the test for any piece instantly.,A test layout that mirrors the code,Small tests sit beside their code and bigger tests live in a matching tree,
004 A proper engine room (Backend API v1),Sign-off,Your approval gate,Confirm the new structure is clean and that storage could be swapped later without rewriting the logic.,Confidence the backend is ready to grow,Every route follows the standard - each service was tested first - storage could be swapped without touching the logic,
005 A real database (Postgres Foundation),Goal,We move live data into a real database,Today everything is saved as loose files on disk - fine for one tester not for real companies. We move the live data (organisations users and sessions) into a proper database so multiple people can use it safely and nothing is lost on restart.,Live data held safely in a real database,Walk the steps - done when the database builds from scratch in one command and data survives a restart,
005 A real database (Postgres Foundation),1,Pick the database toolkit,We choose the proven tool for managing the database and record the choice so the reasoning is on file.,A chosen database toolkit on the record,The choice is written down in the progress log,
005 A real database (Postgres Foundation),2,Build the first tables,We create the first tables - organisations users sessions a pointer to run history and a placeholder for invitations - as a proper versioned change not a hand-edit.,The core tables created cleanly,The database builds itself from empty with a single command,
005 A real database (Postgres Foundation),3,Plug the backend into the database,We connect the backend to the database and swap session and user storage over - behind the same doorway so the logic above does not change.,The backend reading and writing the database,The services are unchanged and now read and write the database,
005 A real database (Postgres Foundation),4,One-command local setup,We make it possible for any teammate to spin up the database locally with one documented command.,A database any teammate can start in one step,A teammate can start the database from the written command,
005 A real database (Postgres Foundation),Sign-off,Your approval gate,Confirm data now truly persists - create something restart and watch it still be there.,Confidence real data is safe across restarts,Database builds from clean in one command - a session survives a server restart - tests green and a teammate can start the DB,
006 The front door (Auth),Goal,We add register and login,We give Sero a real front door: people register and log in with strong password protection. Because this is an HR product signing up also creates their company so their data belongs to the organisation not a lone person.,A secure register-and-login front door,Walk the steps - done when signup creates a company and two companies cannot see each other,
006 The front door (Auth),1,Finalise the accounts tables,We finalise the tables for companies people sign-in methods and invitations so the front door has everything it needs.,The tables behind accounts finalised,The tables exist with every field they need,
006 The front door (Auth),2,Register and login with safe passwords,We build register and login and store passwords using a strong scramble so the real password is never kept - even we cannot see it.,Working register and login with safe passwords,Passwords are stored scrambled and the raw password is never kept,
006 The front door (Auth),3,Keep people signed in and guard the doors,We issue a secure pass on login and put a guard on protected pages so logged-out visitors are turned away.,Protected pages that turn away logged-out visitors,A protected page is refused when you are logged out,
006 The front door (Auth),4,Signup creates the company,Signing up creates the organisation and makes that first person the owner and every piece of data is fenced to their company.,A company created automatically on signup,Registering creates both a person and their company with that person as owner,
006 The front door (Auth),Sign-off,Your approval gate,Confirm the front door is real and that companies are properly walled off from each other.,Confidence each company is sealed off from the rest,Signup creates a person and a company - login works and logged-out access is refused - two companies cannot see each others data,
007 The customer app (Frontend App),Goal,We build the app real customers use,This is the visible payoff: a real customer-facing app with register and login wired to the secure backend. Your current internal screens stay as the admin tool - this new app is the product people sign up to.,A real app a customer can sign up to and use,Walk the steps - done when you can register a company in the browser log in and stay logged in,
007 The customer app (Frontend App),1,Stand up the new app,We create the new customer app and its build setup - the shell the customer experience lives in.,The new customer app up and running,The app builds and runs,
007 The customer app (Frontend App),2,Build register and login screens,We build the actual screens a new customer sees - register and login.,Register and login screens a customer can use,Both screens appear correctly,
007 The customer app (Frontend App),3,Wire the screens to the backend,We connect those screens to the secure backend so signing up and logging in really work and the app remembers you.,Screens that really sign you up and log you in,Register a new company in the browser log in and reach the signed-in screen,
007 The customer app (Frontend App),4,A simple home screen,We add a minimal home screen that shows the company name and a button to start a prep run - enough to prove the loop end to end.,A home screen showing your company,The home screen shows your company name and a start button,
007 The customer app (Frontend App),Sign-off,Your approval gate,Confirm the whole loop works in a real browser the way a customer would experience it.,Confidence a real customer can sign up and use it,Register and log in in the browser and see the home screen - a refresh keeps you logged in - logout returns you to login,
008 Keep it safe (Security),Goal,We make it safe for real HR data,Before any real company puts staff data in we do a dedicated safety pass: protect peoples personal data and make sure our AI keys can never leak. Automated checks are the floor not the finish line - a human expert signs off before real data flows.,A product safe to trust with real staff data,Walk the steps - done when the checks are green keys cannot leak and a human expert has signed off,
008 Keep it safe (Security),1,Run the security checks,We install the security skills and run their checks fixing anything they flag until they are all green.,A clean bill of health from the security checks,The security checks are all green,
008 Keep it safe (Security),2,Protect personal data,We map everywhere personal and HR data lives and lock it down - access fenced by company and role data encrypted in transit and kept out of logs.,Personal data fenced by company and role,Trying to reach another company or roles data is blocked,
008 Keep it safe (Security),3,Lock away the AI keys,We prove our AI keys live only on the server and never reach a customers browser a response or a log file - this is critical.,AI keys that never leave the server,No key appears in the app a response or a log anywhere,
008 Keep it safe (Security),4,Human expert sign-off,A security-literate human reviews the whole thing and signs off on the record - because for HR data green checks alone are not enough.,A named experts sign-off on the record,A named human expert has reviewed and signed off in the progress log,
008 Keep it safe (Security),Sign-off,Your approval gate,This is the final gate before real data flows. Confirm all four checks below - and do not treat the automated greens as enough on their own.,Confidence it is genuinely safe to onboard a real company,Security checks green - no key leaks anywhere - personal data access is fenced by company and role - a named expert has signed off,
